NM_001031600	MEF2D
NM_205313	THRA
NM_001030542	NPAS2
NM_205068	GBX2
NM_001031456	PIAS1
NM_001031595	IKZF5
NM_001012955	FOXM1
NM_204124	NR2C1
NM_001349760	HOXA3
NM_205269	NFYB
NM_204380	TERF1
NM_205236	HIC1
NM_001146142	NANOG
NM_001293095	ETV5
NM_001113571	GTF3A
NM_205533	HMX1
NM_204351	TP63
NM_204137	NKX3-2
NM_204820	IKZF3
NM_001245981	DMRTB1
NM_204536	RARA
NM_001030537	TBX4
NM_001199548	NKX6-2
NM_001318990	KLF7
NM_001031160	LCORL
NM_001012807	TADA2A
NM_001030922	TFEB
NM_001319032	ZFP36L2
NM_204328	FOXO1
NM_205049	RREB1
NM_001006230	THAP5
NM_001277641	ZBTB6
NM_204450	CREB1
NM_001031587	IRF5
NM_205170	NR2E1
NM_204966	HAND2
NM_204556	HOPX
NM_001030756	NFE2L1
NM_205318	MYBL2
NM_204912	PAX9
NM_205134	NFKB1
NM_001199618	JAZF1
NM_001080890	DLX6
NM_204144	TBX20
NM_205270	NFIX
NM_001305256	HSF1
NM_001305256	HSF1
NM_001305256	HSF1
NM_204917	ETV1
NM_204104	RAX2
NM_001024826	SMAD9
NM_001005427	MEOX2
NM_204559	MSX2
NM_001012902	ARID4A
NM_001271902	GLI2
NM_001271901	GLI2
NM_204297	HIF1A
NM_205232	MYBL1
NM_001079496	ZNF384
NM_001039326	SOX17
NM_205253	CEBPB
NM_001278093	ZNF341
NM_001167764	HSF2
NM_001170344	OSR2
NM_001101831	DMRT1
NM_001199454	HBP1
NM_001293088	ZFHX3
NM_001318423	KLF2
NM_001012695	HES5
NM_001079727	RCOR3
NM_001006325	NFYA
NM_204267	LITAF
NM_001277716	HMBOX1
NM_205354	NOTO
NM_204106	TBX22
NM_001031774	LIN28A
NM_001079751	MBD3
NM_001006335	SMARCE1
NM_204558	IRF9
NM_001110178	Pou5f3
NM_001309372	Pou5f3
NM_205414	ISL1
NM_001199325	DNAJC2
NM_001005835	E2F4
NM_204369	HMGA1
NM_204603	SP3
NM_205352	TAL1
NM_205015	TLX1
NM_204769	VSX1
NM_204795	DACH2
NM_204159	DLX5
NM_204254	ZIC1
NM_205198	GNOT2
NM_204770	FOXA2
NM_001044695	SIX2
NM_205488	MSX1
NM_001252221	THRB
NM_205447	THRB
NM_204616	NKX2-1
NM_001277639	ZBTB26
NM_001012911	MXI1
NM_205262	PGR
NM_001257388	LMX1A
NM_205358	LMX1B
NM_001277138	TOX3
NM_001277137	TOX3
NM_206859	CEBPG
NM_001305041	HSF3
NM_205002	ID2
NM_001030367	TBX6
NM_204319	POU1F1
NM_205142	SNAI1
NM_001178143	LBX1
NM_001178143	LBX1
NM_001037827	VEZF1
NM_204728	PPARD
NM_205295	HMGB3
NM_001006417	KLF11
NM_205421	GATA5
NM_001012930	BCL6
NM_001006480	ZNF410
NM_204928	MNX1
NM_001008444	GATA3
NM_205094	TFAP2A
NM_204421	NR2F2
NM_204139	HOXA13
NM_205472	POU2F1
NM_001008479	SUB1
NM_001012552	GATAD2A
NM_205010	PITX2
NM_001031459	CEBPA
NM_001318413	FOXP2
NM_001271892	TERF2
NM_001031120	HDX
NM_205001	HMGA2
NM_204503	BHLHE22
NM_001031070	ZBTB2
NM_001031526	OLIG2
NM_204799	VAX1
NM_001030335	LHX3
NM_001080859	HOXB1
