Tx_ids_symbol,Tx_ids
NM_001031242-NM_001031242,NM_001031242
NM_001031243-NM_001031243,NM_001031243
NM_001031243-NM_001031243,NM_001031243
NM_001006508-NM_001006508,NM_001006508
NM_001006509-NM_001006509,NM_001006509
NM_001012913-NM_001012913,NM_001012913
NM_205439-NM_205439,NM_205439
NM_001006510-NM_001006510,NM_001006510
NM_001006511-NM_001006511,NM_001006511
NM_001031245-NM_001031245,NM_001031245
NM_205178-NM_205178,NM_205178
NM_001198712-NM_001198712,NM_001198712
NM_001257318-NM_001257318,NM_001257318
NM_204313-NM_204313,NM_204313
NM_001031247-NM_001031247,NM_001031247
NM_204240-NM_204240,NM_204240
NM_001031248-NM_001031248,NM_001031248
NM_001012914-NM_001012914,NM_001012914
NM_001031249-NM_001031249,NM_001031249
NM_001006515-NM_001006515,NM_001006515
NM_001012915-NM_001012915,NM_001012915
NR_035089-NR_035089,NR_035089
NM_001012916-NM_001012916,NM_001012916
NM_001031557-NM_001031557,NM_001031557
NM_001277422-NM_001277422,NM_001277422
NM_001305131-NM_001305131,NM_001305131
NM_001008474-NM_001008474,NM_001008474
NM_001006516-NM_001006516,NM_001006516
NM_001302167-NM_001302167,NM_001302167
NM_001202462-NM_001202462,NM_001202462
NM_001305144-NM_001305144,NM_001305144
NM_204135-NM_204135,NM_204135
NM_001277848-NM_001277848,NM_001277848
NM_001277850-NM_001277848,"NM_001277850,NM_001277849,NM_001277848"
NM_204450-NM_204450,NM_204450
NM_001318990-NM_001318990,NM_001318990
NM_001145230-NM_001145230,NM_001145230
NM_001006518-NM_204901,"NM_001006518,NM_204901"
NM_001100288-NM_001100288,NM_001100288
NM_001100288-NM_001100288,NM_001100288
NM_001195424-NM_001195424,NM_001195424
NM_001031252-NM_001031252,NM_001031252
NM_001012917-NM_001012917,NM_001012917
NM_001031386-NM_001257341,"NM_001031386,NM_001257341"
NM_204923-NM_204923,NM_204923
NM_001031352-NM_001031352,NM_001031352
NM_205289-NM_205289,NM_205289
NM_204207-NM_204207,NM_204207
NM_001006519-NM_001006519,NM_001006519
NM_001012594-NM_001012594,NM_001012594
NM_001193669-NM_001193669,NM_001193669
NM_001193638-NM_001193638,NM_001193638
NM_001031256-NM_001031256,NM_001031256
NM_001277871-NM_001277871,NM_001277871
NM_206983-NM_206983,NM_206983
NM_001039307-NM_001039307,NM_001039307
NM_001079747-NM_001079747,NM_001079747
NM_205455-NM_205455,NM_205455
NM_205359-NM_205359,NM_205359
NM_001079493-NM_001079493,NM_001079493
NM_001006522-NM_001006522,NM_001006522
NM_001006524-NM_001006524,NM_001006524
NM_204489-NM_204489,NM_204489
NM_205073-NM_205073,NM_205073
NM_001006525-NM_001006525,NM_001006525
NM_001006526-NM_001006526,NM_001006526
NM_001031260-NM_001031260,NM_001031260
NM_001031262-NM_001031262,NM_001031262
NM_204307-NM_204307,NM_204307
NM_001006528-NM_001006528,NM_001006528
NM_001012921-NM_001012921,NM_001012921
NM_001318466-NM_001318466,NM_001318466
NM_001318466-NM_001318466,NM_001318466
NM_205367-NM_205367,NM_205367
NM_001008477-NM_001008477,NM_001008477
NM_204560-NM_204560,NM_204560
NM_001031263-NM_001031263,NM_001031263
NM_204677-NM_204677,NM_204677
NM_001030695-NM_001030695,NM_001030695
NM_001030695-NM_001030695,NM_001030695
NM_001080715-NM_001080715,NM_001080715
NM_001030696-NM_001030696,NM_001030696
NM_001030699-NM_001030699,NM_001030699
NM_001030700-NM_001030700,NM_001030700
NM_001114638-NM_001114638,NM_001114638
NM_001007844-NM_001007844,NM_001007844
NM_001001305-NM_001001305,NM_001001305
NM_001006204-NM_001006204,NM_001006204
NM_001278018-NM_001278018,NM_001278018
NM_205296-NM_205296,NM_205296
NM_204102-NM_204102,NM_204102
NM_001163003-NM_001163003,NM_001163003
NM_205155-NM_205155,NM_205155
NM_001006206-NM_204947,"NM_001006206,NM_204947"
NM_205047-NM_205047,NM_205047
NM_205047-NM_205047,NM_205047
NM_001030704-NM_001030704,NM_001030704
NM_204123-NM_204123,NM_204123
NM_001318458-NM_001318458,NM_001318458
NM_001012803-NM_001012803,NM_001012803
NM_001006207-NM_001006207,NM_001006207
NM_001079719-NM_001270725,"NM_001079719,NM_001270725"
NM_001006208-NM_001006208,NM_001006208
NM_001006208-NM_001006208,NM_001006208
NM_001285499-NM_001285499,NM_001285499
NR_105429-NR_105429,NR_105429
NM_204827-NM_204827,NM_204827
NM_204827-NM_204827,NM_204827
NM_001006209-NM_001006209,NM_001006209
NM_001006210-NM_001006210,NM_001006210
NM_001030706-NM_001030706,NM_001030706
NM_001030706-NM_001030706,NM_001030706
NM_001282178-NM_001282178,NM_001282178
NM_204491-NM_204491,NM_204491
NM_001007845-NM_001007845,NM_001007845
NM_001030707-NM_001030707,NM_001030707
NM_001030708-NM_001030708,NM_001030708
NM_001098610-NM_001098610,NM_001098610
NM_001031581-NM_001031581,NM_001031581
NM_204298-NM_204298,NM_204298
NM_204298-NM_204298,NM_204298
NM_001031105-NM_001031105,NM_001031105
NM_204600-NM_001008463,"NM_204600,NM_001008463"
NM_001318453-NM_001318453,NM_001318453
NM_001006423-NM_001006423,NM_001006423
NM_001198710-NM_001198710,NM_001198710
NM_001080871-NM_001080871,NM_001080871
NM_001277907-NM_001277907,NM_001277907
NM_001001467-NM_001001467,NM_001001467
NM_001031531-NM_001031530,"NM_001031531,NM_001031530"
NM_001278001-NM_001278001,NM_001278001
NM_001080717-NM_001080717,NM_001080717
NM_001006426-NM_001006426,NM_001006426
NM_001031108-NM_001031109,"NM_001031108,NM_001031109"
NM_001006336-NM_001006336,NM_001006336
NM_001030932-NM_001030932,NM_001030932
NM_205285-NM_205285,NM_205285
NM_204140-NM_204140,NM_204140
NM_001012551-NM_001012551,NM_001012551
NM_001302177-NM_001044645,"NM_001302177,NM_001044645"
NM_204833-NM_204833,NM_204833
NM_001319021-NM_001319021,NM_001319021
NM_001278090-NM_001278090,NM_001278090
NM_001031413-NM_001031413,NM_001031413
NM_205271-NM_205271,NM_205271
NM_205271-NM_205271,NM_205271
NM_204234-NM_204234,NM_204234
NM_001031354-NM_001031354,NM_001031354
NM_001001201-NM_001001201,NM_001001201
NM_205368-NM_205368,NM_205368
