#po Enhancers
#Created from ./po_gal5/po_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X20180716.F_TKD180701835_1.fq.gz.rmdup.bam
#Using cutoff of 15327.2206 for Super-Enhancers
#Created on Oct 23 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20180716.F_TKD180701835_1.fq.gz.rmdup.bam	X20180716.IN_TKD180701837_1.fq.gz.rmdup.bam	enhancerRank	isSuper
51_po.27ac_peak_3412_lociStitched	11	514159	642528	51	68597	213631.6898	47162.7706	1	1
47_po.27ac_peak_360_lociStitched	1	30967374	31082534	47	56442	172832.128	38256.152	2	1
38_po.27ac_peak_2663_lociStitched	1	185017549	185128341	38	44816	160737.0336	39652.4568	3	1
37_po.27ac_peak_4053_lociStitched	12	8817216	8919394	37	47319	156843.23	37713.8998	4	1
33_po.27ac_peak_8943_lociStitched	20	4275479	4364026	33	50397	144349.3194	30176.8176	5	1
23_po.27ac_peak_3877_lociStitched	12	1779438	1876326	23	37807	148723.08	37592.544	6	1
29_po.27ac_peak_5586_lociStitched	15	10885805	10982579	29	31599	138357.7878	37548.312	7	1
27_po.27ac_peak_4875_lociStitched	14	4178448	4255153	27	36525	126593.932	28066.3595	8	1
24_po.27ac_peak_11363_lociStitched	3	16810147	16893330	24	32639	122661.6518	29754.5591	9	1
28_po.27ac_peak_16132_lociStitched	7	4495407	4566285	28	36375	120081.5076	27692.0346	10	1
18_po.27ac_peak_15253_lociStitched	5	50247876	50301046	18	41794	111821.827	19938.75	11	1
29_po.27ac_peak_10083_lociStitched	24	2907412	2979734	29	37506	117407.5348	27135.2144	12	1
26_po.27ac_peak_11186_lociStitched	3	8047261	8136405	26	33193	121262.5832	31173.6568	13	1
25_po.27ac_peak_8409_lociStitched	2	126446496	126547381	25	28174	124855.276	34886.033	14	1
28_po.27ac_peak_15097_lociStitched	5	44793093	44887744	28	29285	121588.6746	33392.8728	15	1
29_po.27ac_peak_9249_lociStitched	20	12917870	12980897	29	36825	103767.6528	21044.7153	16	1
21_po.27ac_peak_4088_lociStitched	12	8932822	9004659	21	30093	107604.6423	26400.0975	17	1
29_po.27ac_peak_9304_lociStitched	20	13794485	13872968	29	29195	107396.1372	26660.6751	18	1
16_po.27ac_peak_3774_lociStitched	11	18935265	18979327	16	36277	93565.657	15611.1666	19	1
26_po.27ac_peak_7946_lociStitched	2	90309921	90395595	26	21505	105755.9856	28606.5486	20	1
11_po.27ac_peak_15212_lociStitched	5	49339626	49379272	11	23002	95035.4266	18352.1334	21	1
22_po.27ac_peak_9647_lociStitched	22	1083112	1135245	22	36034	93109.538	16844.1723	22	1
22_po.27ac_peak_4940_lociStitched	14	4782016	4829659	22	32710	93318.3441	17985.2325	23	1
19_po.27ac_peak_8233_lociStitched	2	108140388	108192023	19	34529	90634.9155	16073.9755	24	1
30_po.27ac_peak_9164_lociStitched	20	11483961	11546007	30	30933	95141.3364	21312.801	25	1
16_po.27ac_peak_6661_lociStitched	19	7331949	7376597	16	33860	89014.7176	15341.0528	26	1
23_po.27ac_peak_12720_lociStitched	3	107781034	107842649	23	28299	94843.9695	22341.599	27	1
11_po.27ac_peak_1539_lociStitched	1	80196868	80241282	11	28583	89347.6438	16979.4722	28	1
14_po.27ac_peak_8125_lociStitched	2	102851024	102891766	14	28447	87644.1904	15881.2316	29	1
16_po.27ac_peak_5778_lociStitched	17	5346969	5396372	16	31328	89883.8182	18442.1399	30	1
21_po.27ac_peak_13226_lociStitched	4	13865188	13929229	21	29286	92302.2933	21075.8931	31	1
21_po.27ac_peak_9462_lociStitched	21	3291049	3356223	21	26143	94046.082	24133.9322	32	1
12_po.27ac_peak_14992_lociStitched	5	39026553	39071050	12	28815	85492.0861	16041.1685	33	1
18_po.27ac_peak_8302_lociStitched	2	113372120	113413507	18	27662	83266.5053	14878.6265	34	1
14_po.27ac_peak_16312_lociStitched	7	11827627	11874450	14	28731	84431.2336	16556.6128	35	1
18_po.27ac_peak_12899_lociStitched	4	452350	501285	18	24374	84995.2015	19065.076	36	1
26_po.27ac_peak_10198_lociStitched	24	5143368	5198006	26	28724	85044.047	19281.7502	37	1
14_po.27ac_peak_14384_lociStitched	5	9235146	9273856	14	25799	79258.725	14717.542	38	1
13_po.27ac_peak_10394_lociStitched	26	67510	101904	13	25438	75563.618	11504.793	39	1
19_po.27ac_peak_9439_lociStitched	21	3045904	3093065	19	26330	81050.8946	17548.6081	40	1
21_po.27ac_peak_16106_lociStitched	7	4425934	4469055	21	28061	78057.6342	15325.2034	41	1
9_po.27ac_peak_1831_lociStitched	1	105821017	105855767	9	25304	75424.875	12697.65	42	1
20_po.27ac_peak_6531_lociStitched	19	5361658	5420917	20	21480	84935.9247	22542.1236	43	1
27_po.27ac_peak_3237_lociStitched	10	16761619	16816580	27	24937	82144.7106	19917.8664	44	1
16_po.27ac_peak_11758_lociStitched	3	38430338	38474575	16	27191	77653.6298	15876.6593	45	1
22_po.27ac_peak_12372_lociStitched	3	78087692	78142247	22	27088	76611.5865	15417.243	46	1
17_po.27ac_peak_3618_lociStitched	11	9373164	9428994	17	21659	79451.673	18278.742	47	1
18_po.27ac_peak_7694_lociStitched	2	63054583	63127042	18	17853	85733.4888	24925.896	48	1
22_po.27ac_peak_10826_lociStitched	28	990690	1057030	22	20428	83535.328	23743.086	49	1
18_po.27ac_peak_5531_lociStitched	15	9439382	9482211	18	24725	76060.0211	16669.0468	50	1
21_po.27ac_peak_13280_lociStitched	4	16487238	16572836	21	16700	86967.568	29916.501	51	1
17_po.27ac_peak_116_lociStitched	1	7556646	7604016	17	21564	74091.417	17119.518	52	1
13_po.27ac_peak_9127_lociStitched	20	11275021	11332851	13	23330	76485.958	19847.256	53	1
